Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Male,28,1,400000,Not prepared ,5000,Through Bank,Family members/Friends,Regarding your / Your Siblings marriage,21,8
Male,49,0,180000,Marketing ,1000,Self,Books,Construction of own House / Buying a new Car,20,6
Male,24,1,350000,Mutual Funds,10000,No one,Mobile applications,Tax saving,1,1
Male,24,0,180000,Mutual Funds,3000,Family member,Books,All the above ,15,4
Male,55,1,600000,"Banking - RD, FD",7000,Schemes,Mobile applications,Children's education/ Marriage,2,8
Male,43,0,250000,"Stocks - Intraday, long term",5000,Social media/ Articles,Social media/ Articles,Wealth generation,1,6
Female,45,1,350000,Gold / Any other Materialistic investment,10000,Social media/ Articles,Brokers,Personal Savings,15,8
Female,50,1,400000,"Banking - RD, FD",2000,No one,Family members/Friends,Regarding your / Your Siblings marriage,9,8
Female,20,1,260000,"Stocks - Intraday, long term",0,No one,Brokers,Planning for finacial freedom after Retirement,15,6
Male,35,1,0,Gold / Any other Materialistic investment,3000,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,4,7
Female,54,0,300000,Mutual Funds,10000,Schemes,Social media/ Articles,Construction of own House / Buying a new Car,20,2
Female,57,1,280000,"Real estate, Bonds",1000,Schemes,Books,Wealth generation,7,5
Male,44,1,400000,Crypto currency,7000,Through Bank,Mobile applications,Regarding your / Your Siblings marriage,21,2
Female,55,1,280000,"Banking - RD, FD",1000,Agents/Investment brokers,Social media/ Articles,Wealth generation,1,8
Male,27,0,600000,Marketing ,0,Self motivation ,Books,All the above ,20,4
Male,39,1,260000,Marketing ,3000,No one,Books,Planning for finacial freedom after Retirement,1,1
Male,25,0,400000,Marketing ,2000,Social media/ Articles,Books,Children's education/ Marriage,9,6
Male,28,1,280000,"Stocks - Intraday, long term",0,No one,Books,Regarding your / Your Siblings marriage,21,6
Male,56,0,360000,"Banking - RD, FD",1000,Family member,Books,Planning for finacial freedom after Retirement,25,2
Female,31,1,280000,"Real estate, Bonds",7000,Social media/ Articles,Investors in bank,All the above ,25,7
Male,25,0,200000,"Real estate, Bonds",0,Through Bank,News articles / Current affairs,Regarding your / Your Siblings marriage,8,1
Female,29,0,384000,Marketing ,1000,No one,Family members/Friends,All the above ,9,4
Female,50,0,360000,Gold / Any other Materialistic investment,7000,No one,Family members/Friends,Children's education/ Marriage,10,7
Female,18,0,200000,Not prepared ,3000,Friends,Family members/Friends,Tax saving,5,6
Female,38,1,300000,Not prepared ,10000,Self motivation ,Brokers,All the above ,20,3
Male,46,1,300000,Crypto currency,1000,Through Bank,Brokers,All the above ,3,1
Female,23,0,300000,Crypto currency,1000,Through Bank,Investors in bank,All the above ,10,4
Female,54,1,260000,Gold / Any other Materialistic investment,3000,Social media/ Articles,News articles / Current affairs,All the above ,7,2
Female,44,1,280000,Not prepared ,0,Self ,Investors in bank,Personal Savings,9,2
Female,50,1,80,Chit fund,3000,Friends,Family members/Friends,Children's education/ Marriage,15,2
Male,36,0,500000,Crypto currency,7000,Schemes,Brokers,Wealth generation,5,0
Female,35,0,360000,Chit fund,1000,Self,Brokers,Regarding your / Your Siblings marriage,20,1
Male,46,0,180000,Marketing ,3000,Schemes,Family members/Friends,Planning for finacial freedom after Retirement,4,3
Male,18,1,80,Not prepared ,1000,Self Interest ,Brokers,Regarding your / Your Siblings marriage,1,3
Female,46,1,500000,Chit fund,2000,Friends,Investors in bank,Planning for finacial freedom after Retirement,20,6
Male,37,0,80,Crypto currency,5000,Social media/ Articles,Mobile applications,Regarding your / Your Siblings marriage,3,6
Female,27,1,300000,Not prepared ,2000,Family member,News articles / Current affairs,Tax saving,25,8
Male,18,1,300000,"Stocks - Intraday, long term",10000,Family member,Social media/ Articles,Planning for finacial freedom after Retirement,8,3
Male,58,1,384000,"Banking - RD, FD",1000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,6,8
Male,54,1,200000,Not prepared ,3000,Self Interest ,Investors in bank,Wealth generation,9,3
Male,35,0,200000,Crypto currency,2000,Friends,Social media/ Articles,Children's education/ Marriage,7,8
Female,57,0,250000,Chit fund,10000,Social media/ Articles,News articles / Current affairs,Construction of own House / Buying a new Car,3,6
Female,27,1,180000,Marketing ,2000,Through Bank,Family members/Friends,Children's education/ Marriage,25,1
Female,38,1,260000,Crypto currency,10000,Self,News articles / Current affairs,Personal Savings,15,0
Male,25,1,500000,"Stocks - Intraday, long term",5000,Family member,News articles / Current affairs,All the above ,9,4
Male,22,1,120000,Not prepared ,0,No one,Books,Personal Savings,15,3
Female,20,1,80,Not prepared ,2000,No one,Books,All the above ,6,6
Female,33,0,360000,"Real estate, Bonds",3000,No one,Mobile applications,All the above ,25,4
Female,43,1,180000,Chit fund,5000,Through Bank,News articles / Current affairs,Regarding your / Your Siblings marriage,21,5
Female,31,0,400000,Marketing ,2000,Schemes,Investors in bank,Planning for finacial freedom after Retirement,25,6
Female,32,1,350000,"Banking - RD, FD",0,Social media/ Articles,Investors in bank,Construction of own House / Buying a new Car,15,7
Male,55,0,280000,"Stocks - Intraday, long term",10000,Self,Investors in bank,All the above ,2,1
Male,25,0,600000,"Real estate, Bonds",1000,Self motivation ,Brokers,Tax saving,1,5
Female,37,0,360000,"Banking - RD, FD",2000,Friends,Brokers,All the above ,20,6
Female,26,0,180000,Mutual Funds,1000,Social media/ Articles,Family members/Friends,Wealth generation,25,1
Female,29,1,280000,Mutual Funds,0,Family member,Investors in bank,Wealth generation,6,8
Female,51,0,120000,Gold / Any other Materialistic investment,3000,Social media/ Articles,Mobile applications,Tax saving,25,5
Female,25,1,384000,Chit fund,2000,Self ,Social media/ Articles,Children's education/ Marriage,8,0
Male,24,1,120000,Mutual Funds,5000,Social media/ Articles,Books,Construction of own House / Buying a new Car,6,2
Female,51,0,280000,"Banking - RD, FD",0,Agents/Investment brokers,News articles / Current affairs,Regarding your / Your Siblings marriage,15,1
Female,30,0,80,Mutual Funds,0,Self Interest ,Investors in bank,Construction of own House / Buying a new Car,3,0
Female,25,0,150000,Not prepared ,10000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,7,7
Female,43,1,150000,Mutual Funds,1000,No one,Investors in bank,Tax saving,25,4
Female,45,1,360000,Gold / Any other Materialistic investment,0,Schemes,Mobile applications,Personal Savings,1,5
Male,41,0,280000,"Real estate, Bonds",10000,Friends,Social media/ Articles,Construction of own House / Buying a new Car,8,0
Female,43,0,150000,Mutual Funds,0,No one,Investors in bank,Planning for finacial freedom after Retirement,15,3
Female,46,1,150000,"Stocks - Intraday, long term",1000,Self,News articles / Current affairs,Construction of own House / Buying a new Car,3,0
Male,47,0,180000,Gold / Any other Materialistic investment,3000,Agents/Investment brokers,Brokers,Personal Savings,15,4
Male,48,1,600000,Chit fund,0,No one,Family members/Friends,Regarding your / Your Siblings marriage,7,3
Female,45,0,400000,"Banking - RD, FD",5000,Family member,Family members/Friends,Tax saving,1,5
Female,56,0,600000,Crypto currency,0,Agents/Investment brokers,Family members/Friends,Children's education/ Marriage,7,4
Male,54,0,400000,"Stocks - Intraday, long term",7000,Family member,Books,Personal Savings,4,0
Male,27,0,150000,Crypto currency,3000,Social media/ Articles,Social media/ Articles,Wealth generation,6,5
Male,32,1,500000,Gold / Any other Materialistic investment,7000,Through Bank,Social media/ Articles,Tax saving,2,2
Female,41,0,200000,Not prepared ,7000,No one,Mobile applications,Personal Savings,21,2
Female,27,0,280000,Marketing ,3000,Agents/Investment brokers,News articles / Current affairs,Children's education/ Marriage,6,7
Male,32,1,180000,"Stocks - Intraday, long term",0,Through Bank,Family members/Friends,Wealth generation,10,3
Female,57,0,260000,Marketing ,10000,Family member,Social media/ Articles,Construction of own House / Buying a new Car,15,4
Male,46,1,400000,"Real estate, Bonds",3000,Self Interest ,Family members/Friends,Construction of own House / Buying a new Car,6,6
Female,25,0,250000,Marketing ,1000,Family member,Social media/ Articles,Children's education/ Marriage,20,2
Female,42,0,300000,Gold / Any other Materialistic investment,7000,Family member,Books,Personal Savings,1,0
Female,43,0,500000,"Real estate, Bonds",2000,Self ,Social media/ Articles,Planning for finacial freedom after Retirement,9,0
Male,52,1,260000,Crypto currency,3000,Self motivation ,Mobile applications,Tax saving,20,0
Female,30,1,260000,Not prepared ,5000,Social media/ Articles,Social media/ Articles,Wealth generation,6,4
Male,53,1,280000,Marketing ,7000,Self,Investors in bank,Regarding your / Your Siblings marriage,8,4
Female,33,1,600000,"Banking - RD, FD",7000,Social media/ Articles,Brokers,Wealth generation,3,1
Female,35,0,150000,"Stocks - Intraday, long term",1000,Social media/ Articles,Books,Children's education/ Marriage,4,6
Female,53,1,200000,Gold / Any other Materialistic investment,0,No one,Brokers,Children's education/ Marriage,21,1
Female,37,0,350000,Gold / Any other Materialistic investment,5000,Self,Brokers,Regarding your / Your Siblings marriage,4,6
Female,31,1,300000,Gold / Any other Materialistic investment,3000,Self ,Social media/ Articles,Regarding your / Your Siblings marriage,15,7
Male,47,0,384000,Gold / Any other Materialistic investment,5000,Agents/Investment brokers,Family members/Friends,Regarding your / Your Siblings marriage,3,1
Male,49,0,600000,"Banking - RD, FD",5000,No one,Family members/Friends,Planning for finacial freedom after Retirement,15,0
Female,26,0,360000,Mutual Funds,10000,No one,News articles / Current affairs,Construction of own House / Buying a new Car,9,3
Male,24,1,0,"Banking - RD, FD",2000,Schemes,Investors in bank,Regarding your / Your Siblings marriage,25,4
Female,55,0,384000,"Banking - RD, FD",5000,Self Interest ,Books,All the above ,7,1
Male,59,1,300000,"Real estate, Bonds",0,Self ,Mobile applications,Regarding your / Your Siblings marriage,21,5
Male,56,0,150000,Chit fund,3000,Self motivation ,Family members/Friends,All the above ,8,2
Male,39,1,300000,Not prepared ,0,Self motivation ,News articles / Current affairs,All the above ,6,2
Male,24,0,360000,Chit fund,0,Schemes,Brokers,Personal Savings,15,1
Female,38,0,80,Marketing ,3000,Social media/ Articles,Brokers,Children's education/ Marriage,4,7
Female,32,0,260000,"Banking - RD, FD",3000,Self motivation ,Books,Wealth generation,8,5
Female,57,1,350000,"Real estate, Bonds",10000,Self,Investors in bank,Planning for finacial freedom after Retirement,9,0
Male,36,1,300000,Mutual Funds,5000,Social media/ Articles,Social media/ Articles,Personal Savings,4,5
Male,48,1,80,Mutual Funds,10000,Self ,Mobile applications,Tax saving,15,2
Female,59,1,260000,Marketing ,2000,Self Interest ,Investors in bank,Regarding your / Your Siblings marriage,7,0
Male,59,0,400000,Chit fund,0,Agents/Investment brokers,Social media/ Articles,Personal Savings,9,5
Female,34,0,250000,Not prepared ,3000,Social media/ Articles,Mobile applications,Personal Savings,8,5
Male,25,0,180000,Gold / Any other Materialistic investment,5000,Social media/ Articles,Social media/ Articles,Personal Savings,2,0
Female,32,1,80,"Banking - RD, FD",10000,Self motivation ,Investors in bank,Construction of own House / Buying a new Car,9,1
Female,48,0,200000,Gold / Any other Materialistic investment,1000,Self ,News articles / Current affairs,Personal Savings,2,3
Female,24,1,280000,"Banking - RD, FD",2000,Self motivation ,Mobile applications,Personal Savings,7,6
Female,37,0,350000,Chit fund,3000,Through Bank,Books,Tax saving,20,0
Female,36,0,350000,"Stocks - Intraday, long term",1000,Family member,Books,Wealth generation,8,2
Male,43,1,360000,Marketing ,0,Self,Investors in bank,Personal Savings,2,0
Female,59,1,180000,Crypto currency,1000,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,2,7
Female,44,1,250000,Mutual Funds,7000,Schemes,Brokers,Wealth generation,21,5
Female,49,0,384000,"Stocks - Intraday, long term",5000,Self ,Mobile applications,All the above ,2,8
Male,32,0,384000,"Stocks - Intraday, long term",5000,Self motivation ,News articles / Current affairs,Tax saving,7,1
Female,24,0,500000,Not prepared ,7000,Family member,Brokers,Children's education/ Marriage,5,6
Male,45,0,0,Marketing ,3000,No one,Social media/ Articles,Children's education/ Marriage,3,2
Male,39,0,180000,Marketing ,5000,Self ,Social media/ Articles,All the above ,3,2
Female,23,0,280000,"Banking - RD, FD",2000,Self ,Mobile applications,All the above ,6,6
Male,39,1,300000,"Real estate, Bonds",1000,Self motivation ,Books,Construction of own House / Buying a new Car,20,8
Male,19,1,600000,Marketing ,3000,Through Bank,Investors in bank,Children's education/ Marriage,25,0
Female,38,1,350000,"Banking - RD, FD",3000,Friends,Books,Construction of own House / Buying a new Car,15,7
Female,20,1,280000,"Banking - RD, FD",0,Schemes,Family members/Friends,Wealth generation,15,4
Male,35,1,360000,"Stocks - Intraday, long term",0,Self,News articles / Current affairs,Regarding your / Your Siblings marriage,25,5
Female,29,1,400000,Marketing ,5000,Family member,News articles / Current affairs,Construction of own House / Buying a new Car,25,2
Female,35,0,300000,"Real estate, Bonds",3000,Social media/ Articles,Books,Personal Savings,9,5
Male,56,0,384000,Not prepared ,7000,Self motivation ,Investors in bank,Tax saving,8,6
Female,27,0,150000,Not prepared ,10000,Friends,Investors in bank,Wealth generation,9,4
Male,55,1,120000,Not prepared ,1000,Family member,Brokers,Wealth generation,25,4
Male,59,0,80,Mutual Funds,3000,No one,Investors in bank,Planning for finacial freedom after Retirement,6,2
Female,52,0,200000,Not prepared ,0,Friends,Brokers,Construction of own House / Buying a new Car,6,4
Male,52,1,250000,Chit fund,2000,Self Interest ,Family members/Friends,Children's education/ Marriage,15,0
Male,28,0,500000,Mutual Funds,2000,Agents/Investment brokers,Family members/Friends,Planning for finacial freedom after Retirement,8,8
Female,43,0,280000,"Banking - RD, FD",2000,Self ,Brokers,Planning for finacial freedom after Retirement,3,8
Male,53,1,360000,Mutual Funds,7000,Social media/ Articles,Family members/Friends,Children's education/ Marriage,5,3
Female,34,1,300000,"Stocks - Intraday, long term",7000,Friends,Mobile applications,Regarding your / Your Siblings marriage,5,2
Male,22,1,150000,Gold / Any other Materialistic investment,1000,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,25,3
Female,60,0,150000,Crypto currency,2000,Schemes,Mobile applications,All the above ,20,2
Female,45,1,400000,Marketing ,2000,Self,Social media/ Articles,Planning for finacial freedom after Retirement,15,1
Male,54,0,600000,Not prepared ,2000,Self Interest ,Family members/Friends,Wealth generation,20,2
Male,21,1,120000,"Real estate, Bonds",7000,Family member,Family members/Friends,Wealth generation,2,5
Female,22,0,180000,Gold / Any other Materialistic investment,3000,Social media/ Articles,Mobile applications,Planning for finacial freedom after Retirement,6,2
Female,34,1,384000,Chit fund,2000,Self,Investors in bank,Tax saving,9,8
Female,39,0,0,Not prepared ,3000,Social media/ Articles,Mobile applications,Wealth generation,8,2
Male,26,0,260000,Mutual Funds,1000,Self motivation ,Books,Regarding your / Your Siblings marriage,6,6
Female,47,1,350000,Mutual Funds,2000,Self motivation ,News articles / Current affairs,Construction of own House / Buying a new Car,20,8
Female,20,1,80,"Banking - RD, FD",3000,No one,Books,All the above ,25,5
Female,26,1,80,Crypto currency,5000,Self,Books,All the above ,4,3
Male,50,1,80,Crypto currency,10000,Family member,Social media/ Articles,Personal Savings,20,4
Male,52,0,150000,Marketing ,3000,Self motivation ,Family members/Friends,All the above ,10,7
Female,40,0,500000,Marketing ,1000,Friends,Brokers,All the above ,2,8
Male,50,1,200000,"Real estate, Bonds",7000,Self ,Social media/ Articles,Children's education/ Marriage,9,5
Male,27,1,384000,"Banking - RD, FD",7000,Self ,Books,Construction of own House / Buying a new Car,2,5
Female,46,1,250000,Mutual Funds,3000,Schemes,Social media/ Articles,Construction of own House / Buying a new Car,10,5
Male,33,1,360000,"Banking - RD, FD",7000,Self Interest ,News articles / Current affairs,Wealth generation,2,5
Male,27,0,350000,Marketing ,10000,Self,Family members/Friends,Tax saving,2,0
Male,35,1,360000,"Banking - RD, FD",7000,Self motivation ,Social media/ Articles,Tax saving,10,8
Female,25,0,260000,Mutual Funds,5000,Self Interest ,Brokers,Tax saving,25,1
Female,54,1,360000,Chit fund,5000,Self motivation ,Books,Tax saving,3,7
Female,24,0,400000,"Banking - RD, FD",10000,Self motivation ,News articles / Current affairs,Tax saving,21,7
Male,53,1,400000,Marketing ,5000,Family member,Investors in bank,Tax saving,9,8
Female,22,1,600000,Chit fund,10000,Self Interest ,Family members/Friends,Wealth generation,4,1
Male,47,1,350000,Chit fund,0,Self,Books,Wealth generation,10,6
Male,43,1,280000,Gold / Any other Materialistic investment,10000,Family member,Social media/ Articles,Regarding your / Your Siblings marriage,20,1
Male,54,0,360000,Gold / Any other Materialistic investment,3000,Self ,Family members/Friends,Planning for finacial freedom after Retirement,2,1
Female,53,1,150000,"Real estate, Bonds",5000,No one,Family members/Friends,Wealth generation,20,6
Male,48,1,260000,"Real estate, Bonds",5000,Schemes,Brokers,Personal Savings,1,2
Female,19,1,384000,Not prepared ,7000,No one,Investors in bank,Personal Savings,3,1
Male,31,0,200000,Gold / Any other Materialistic investment,7000,Self,Brokers,Regarding your / Your Siblings marriage,4,3
Female,53,0,500000,Not prepared ,5000,Schemes,Books,Construction of own House / Buying a new Car,9,6
Female,39,1,260000,"Real estate, Bonds",3000,Through Bank,Mobile applications,All the above ,2,6
Male,50,1,80,Marketing ,3000,Self motivation ,Family members/Friends,Construction of own House / Buying a new Car,1,5
Male,30,1,200000,"Real estate, Bonds",2000,Agents/Investment brokers,Books,Personal Savings,2,3
Male,58,0,250000,Crypto currency,10000,Through Bank,News articles / Current affairs,Regarding your / Your Siblings marriage,21,0
Female,50,0,384000,"Stocks - Intraday, long term",1000,Social media/ Articles,Social media/ Articles,Planning for finacial freedom after Retirement,10,8
Female,41,1,260000,"Banking - RD, FD",0,Family member,Books,Tax saving,21,8
Male,20,0,300000,"Real estate, Bonds",1000,Self motivation ,Family members/Friends,All the above ,5,5
Female,48,0,180000,Crypto currency,5000,Family member,Books,Personal Savings,21,1
Male,57,0,400000,Mutual Funds,5000,Self motivation ,Social media/ Articles,Regarding your / Your Siblings marriage,9,1
Female,27,0,500000,"Real estate, Bonds",1000,Family member,Books,Tax saving,9,7
Male,23,1,280000,Mutual Funds,5000,Family member,Family members/Friends,Construction of own House / Buying a new Car,1,4
Female,29,1,350000,Mutual Funds,3000,Self,Brokers,Regarding your / Your Siblings marriage,4,7
Female,49,1,300000,Marketing ,1000,No one,Family members/Friends,Tax saving,21,3
Female,42,1,384000,"Real estate, Bonds",7000,Social media/ Articles,News articles / Current affairs,Children's education/ Marriage,1,5
Female,19,0,360000,"Banking - RD, FD",2000,Schemes,Investors in bank,Wealth generation,7,8
Male,42,0,120000,"Banking - RD, FD",2000,Through Bank,Family members/Friends,Children's education/ Marriage,9,4
Male,40,1,300000,"Banking - RD, FD",0,Family member,Brokers,Planning for finacial freedom after Retirement,5,8
Female,57,0,300000,"Real estate, Bonds",2000,Self,Investors in bank,Children's education/ Marriage,1,0
Female,40,0,350000,"Real estate, Bonds",10000,Through Bank,Social media/ Articles,Children's education/ Marriage,2,7
Male,43,0,200000,"Banking - RD, FD",2000,Self,Family members/Friends,Construction of own House / Buying a new Car,21,8
Male,28,0,250000,Chit fund,3000,Self motivation ,Social media/ Articles,Tax saving,8,5
Male,39,0,250000,Crypto currency,0,No one,News articles / Current affairs,Regarding your / Your Siblings marriage,20,6
Female,24,1,120000,Marketing ,0,Self ,Books,Regarding your / Your Siblings marriage,8,5
Male,44,0,150000,"Stocks - Intraday, long term",1000,Self motivation ,Family members/Friends,Wealth generation,21,3
Female,24,1,150000,"Real estate, Bonds",5000,Schemes,Investors in bank,Construction of own House / Buying a new Car,10,8
Female,49,0,0,"Banking - RD, FD",3000,Social media/ Articles,Investors in bank,All the above ,20,7
Female,56,0,350000,Not prepared ,1000,No one,Social media/ Articles,Planning for finacial freedom after Retirement,1,4
Male,39,1,500000,Mutual Funds,3000,Through Bank,News articles / Current affairs,Wealth generation,4,0
Male,30,0,0,"Real estate, Bonds",7000,Friends,Investors in bank,All the above ,5,3
Male,59,1,0,"Real estate, Bonds",10000,Self,Mobile applications,Children's education/ Marriage,3,0
Female,54,0,384000,"Banking - RD, FD",0,Family member,Family members/Friends,Construction of own House / Buying a new Car,20,5
Male,51,1,384000,Mutual Funds,7000,Self Interest ,Books,All the above ,3,0
Female,50,0,250000,Mutual Funds,5000,Self Interest ,News articles / Current affairs,Regarding your / Your Siblings marriage,6,0
Female,19,1,180000,"Real estate, Bonds",10000,Through Bank,Family members/Friends,Tax saving,15,7
Male,42,1,260000,Mutual Funds,1000,Social media/ Articles,Investors in bank,Personal Savings,21,2
Female,53,1,120000,Not prepared ,5000,Self,Brokers,Wealth generation,10,1
Female,59,1,600000,Crypto currency,0,No one,Mobile applications,Construction of own House / Buying a new Car,4,8
Male,51,1,80,Gold / Any other Materialistic investment,1000,No one,Brokers,Personal Savings,10,5
Male,29,1,384000,Marketing ,5000,Self motivation ,Investors in bank,Children's education/ Marriage,25,3
Female,33,0,350000,Crypto currency,3000,No one,Books,Construction of own House / Buying a new Car,6,7
Male,58,0,80,Crypto currency,7000,Through Bank,News articles / Current affairs,All the above ,8,3
Male,20,1,80,Chit fund,10000,Self,Books,Planning for finacial freedom after Retirement,20,4
Female,30,1,600000,Marketing ,3000,No one,Books,Children's education/ Marriage,25,3
Female,42,0,300000,Marketing ,10000,Agents/Investment brokers,Social media/ Articles,Planning for finacial freedom after Retirement,6,4
Male,35,0,150000,Chit fund,2000,Self Interest ,Family members/Friends,Personal Savings,21,8
Male,18,0,200000,"Stocks - Intraday, long term",0,Family member,News articles / Current affairs,All the above ,6,4
Male,25,0,200000,Marketing ,3000,Self ,Family members/Friends,Wealth generation,5,6
Female,20,0,400000,Not prepared ,0,Self motivation ,Mobile applications,Planning for finacial freedom after Retirement,20,1
Male,50,1,260000,"Stocks - Intraday, long term",7000,Agents/Investment brokers,Investors in bank,Regarding your / Your Siblings marriage,1,1
Female,54,1,250000,Chit fund,0,Self ,Books,Construction of own House / Buying a new Car,4,2
Female,20,0,260000,Chit fund,7000,Self ,Family members/Friends,Personal Savings,20,2
Female,40,1,0,Gold / Any other Materialistic investment,7000,Agents/Investment brokers,Brokers,Planning for finacial freedom after Retirement,20,7
Female,48,1,250000,Crypto currency,7000,Social media/ Articles,Family members/Friends,All the above ,20,1
Male,26,1,500000,Mutual Funds,2000,Agents/Investment brokers,Investors in bank,Children's education/ Marriage,8,6
Female,54,0,400000,Not prepared ,1000,Social media/ Articles,Family members/Friends,Planning for finacial freedom after Retirement,25,4
Female,57,0,400000,Mutual Funds,0,Friends,News articles / Current affairs,Construction of own House / Buying a new Car,9,6
Female,38,0,120000,"Stocks - Intraday, long term",2000,Self ,Investors in bank,Children's education/ Marriage,8,3
Male,56,0,384000,"Real estate, Bonds",10000,Family member,News articles / Current affairs,All the above ,8,3
Female,24,0,250000,Crypto currency,7000,Schemes,Social media/ Articles,Regarding your / Your Siblings marriage,9,8
Female,25,1,180000,Crypto currency,10000,Self Interest ,Books,All the above ,15,6
Female,58,1,150000,Gold / Any other Materialistic investment,2000,Self Interest ,Books,Personal Savings,7,8
Male,52,0,360000,Chit fund,10000,Self,Investors in bank,Planning for finacial freedom after Retirement,5,5
Male,29,0,500000,"Banking - RD, FD",2000,Agents/Investment brokers,Investors in bank,Construction of own House / Buying a new Car,3,3
Female,27,1,500000,Marketing ,7000,Through Bank,Family members/Friends,Children's education/ Marriage,25,4
Female,30,0,250000,Chit fund,2000,Self ,Mobile applications,Construction of own House / Buying a new Car,3,0
Male,22,1,150000,Gold / Any other Materialistic investment,1000,Friends,News articles / Current affairs,Tax saving,25,4
Male,41,0,500000,Mutual Funds,10000,No one,Social media/ Articles,Regarding your / Your Siblings marriage,6,8
Female,26,1,80,"Stocks - Intraday, long term",3000,Through Bank,Family members/Friends,Planning for finacial freedom after Retirement,9,3
Female,19,1,280000,"Real estate, Bonds",0,Self ,Brokers,Regarding your / Your Siblings marriage,10,6
Male,53,1,350000,"Real estate, Bonds",5000,Self ,Brokers,Construction of own House / Buying a new Car,10,5
Female,59,0,200000,Not prepared ,0,Self Interest ,News articles / Current affairs,Personal Savings,3,1
Male,54,0,80,Gold / Any other Materialistic investment,7000,Self ,Investors in bank,Construction of own House / Buying a new Car,5,4
Female,45,1,250000,"Real estate, Bonds",5000,Through Bank,Mobile applications,Personal Savings,21,4
Male,45,1,600000,Crypto currency,0,Self Interest ,Mobile applications,All the above ,6,2
Male,45,1,600000,Mutual Funds,5000,Self Interest ,Mobile applications,Construction of own House / Buying a new Car,8,4
Male,52,0,384000,Mutual Funds,3000,Through Bank,Family members/Friends,Tax saving,5,2
Female,57,0,280000,Gold / Any other Materialistic investment,10000,Schemes,Family members/Friends,All the above ,20,5
Female,34,1,80,"Stocks - Intraday, long term",1000,Self ,Investors in bank,Wealth generation,21,1
Male,22,1,150000,Gold / Any other Materialistic investment,0,No one,News articles / Current affairs,Tax saving,21,6
Male,22,1,80,Gold / Any other Materialistic investment,7000,Self,Social media/ Articles,Personal Savings,15,5
Female,59,1,0,"Banking - RD, FD",1000,Self motivation ,Mobile applications,Wealth generation,20,8
Female,39,0,600000,Crypto currency,5000,Self motivation ,Brokers,Planning for finacial freedom after Retirement,21,3
Female,34,1,300000,"Banking - RD, FD",5000,Agents/Investment brokers,Books,Tax saving,4,3
Male,24,0,0,Gold / Any other Materialistic investment,3000,Schemes,News articles / Current affairs,Personal Savings,4,1
Male,35,0,180000,Not prepared ,10000,Agents/Investment brokers,News articles / Current affairs,Personal Savings,8,4
Female,51,1,280000,"Real estate, Bonds",1000,Friends,Social media/ Articles,Planning for finacial freedom after Retirement,1,6
Female,18,0,250000,Chit fund,1000,No one,Investors in bank,Planning for finacial freedom after Retirement,6,3
Female,31,0,384000,Marketing ,10000,Agents/Investment brokers,Brokers,Regarding your / Your Siblings marriage,1,0
Male,24,0,600000,Marketing ,5000,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,9,2
Female,51,1,600000,Chit fund,0,Self ,Social media/ Articles,Construction of own House / Buying a new Car,2,7
Female,35,0,200000,Gold / Any other Materialistic investment,0,Through Bank,Brokers,Regarding your / Your Siblings marriage,21,8
Female,56,0,250000,Crypto currency,3000,Self,Investors in bank,Regarding your / Your Siblings marriage,3,6
Female,40,1,360000,"Real estate, Bonds",1000,Self ,Investors in bank,Construction of own House / Buying a new Car,15,7
Female,41,0,120000,"Stocks - Intraday, long term",10000,Self Interest ,Family members/Friends,Regarding your / Your Siblings marriage,5,2
Male,20,0,300000,Gold / Any other Materialistic investment,10000,Through Bank,Mobile applications,Tax saving,15,8
Male,44,0,280000,"Banking - RD, FD",10000,Friends,Social media/ Articles,Planning for finacial freedom after Retirement,2,5
Female,53,1,384000,Gold / Any other Materialistic investment,1000,No one,Social media/ Articles,All the above ,21,6
Male,47,0,300000,Chit fund,7000,Friends,Books,Construction of own House / Buying a new Car,1,5
Male,36,1,0,Chit fund,3000,Schemes,Family members/Friends,Construction of own House / Buying a new Car,8,2
Male,58,0,300000,Gold / Any other Materialistic investment,10000,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,7,7
Female,47,0,120000,"Stocks - Intraday, long term",5000,Schemes,News articles / Current affairs,All the above ,25,6
Female,43,0,180000,"Banking - RD, FD",0,Self,Family members/Friends,Personal Savings,20,6
Female,50,0,200000,"Banking - RD, FD",1000,Through Bank,Family members/Friends,All the above ,5,1
Female,55,0,300000,"Real estate, Bonds",2000,Self,News articles / Current affairs,Planning for finacial freedom after Retirement,20,6
Male,39,0,80,Not prepared ,10000,Social media/ Articles,Mobile applications,All the above ,8,6
Female,24,0,600000,"Stocks - Intraday, long term",3000,Through Bank,Books,All the above ,4,2
Female,49,0,300000,Not prepared ,1000,Self Interest ,News articles / Current affairs,Tax saving,25,3
Female,20,1,260000,Gold / Any other Materialistic investment,0,Self,Brokers,Regarding your / Your Siblings marriage,1,2
